WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(입고일-WO일)
49,1,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,8,29,9,0,0,0,0,0,0,1,0,52,137
49,1,112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,5,0,0,0,0,0,0,1,0,52,130
49,1,251,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,5,45,6,0,0,0,0,0,0,1,0,47,104
49,1,53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,9,5,0,0,0,0,0,0,1,0,95,122
49,2,146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,10,82,9,0,0,0,0,0,0,1,0,95,185
49,1,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,11,5,0,0,0,0,0,0,1,0,44,135
49,3,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,18,6,0,0,0,0,0,0,1,0,44,121
49,2,83,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8,30,9,0,0,0,0,0,0,1,0,100,184
5,1,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,16,9,1,0,0,0,0,0,0,0,100,185
49,1,54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,22,6,0,0,0,0,0,0,1,0,100,184
54,1,130,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,54,9,0,0,0,0,0,0,1,0,50,130
54,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,32,8,0,0,0,0,0,0,1,0,74,119
54,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,32,8,0,0,0,0,0,0,1,0,74,119
54,2,110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,23,8,0,0,0,0,0,0,1,0,74,144
6,1,241,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,5,27,11,1,0,0,0,0,0,0,0,45,142
5,1,241,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,6,35,11,0,0,0,0,0,1,0,0,45,154
54,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,45,6,0,0,0,0,0,0,1,0,45,151
5,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,8,30,9,0,0,0,0,0,1,0,0,44,122
5,1,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,8,16,9,0,0,0,0,0,1,0,0,44,122
1,0,202,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16,2,620,9,0,0,1,0,0,0,0,0,34,100
55,3,109,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,10,9,0,0,0,0,0,0,1,0,43,139
7,1,72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,15,6,1,0,0,0,0,0,0,0,55,125
8,0,153,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20,2,641,15,0,0,0,0,0,1,0,0,50,147
63,1,126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,7,17,6,0,0,0,0,0,0,1,0,50,111
63,2,188,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,4,444,5,0,0,0,0,0,0,1,0,56,159
8,1,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,5,20,11,0,0,0,0,0,1,0,0,43,131
63,2,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,7,27,11,0,0,0,0,0,0,1,0,43,173
63,3,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,6,51,6,0,0,0,0,0,0,1,0,43,155
63,1,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,7,437,8,0,0,0,0,0,0,1,0,43,99
8,1,163,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,24,9,0,0,0,0,0,1,0,0,51,170
63,1,43,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,15,6,0,0,0,0,0,0,1,0,51,138
63,2,101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,31,6,0,0,0,0,0,0,1,0,48,140
63,1,97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,27,6,0,0,0,0,0,0,1,0,48,106
72,1,106,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,22,120,9,0,0,0,0,0,0,1,0,39,137
1,3,237,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,7,3,0,0,0,0,0,0,0,1,46,154
8,1,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,9,39,8,1,0,0,0,0,0,0,0,46,119
72,2,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,36,8,0,0,0,0,0,0,1,0,46,116
72,2,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18,8,370,5,0,0,0,0,0,0,1,0,46,147
72,2,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18,2,213,5,0,0,0,0,0,0,1,0,46,139
